iter	Passed	Remaining
475	646	711
476	647	710
477	648	708
478	649	706
479	650	704
480	651	703
481	653	701
482	653	700
483	654	698
484	655	696
485	656	694
486	657	692
487	659	691
488	660	690
489	661	688
490	662	686
491	663	684
492	664	683
493	665	681
494	666	679
495	667	678
496	668	676
497	669	674
498	670	673
499	671	671
500	672	670
501	673	668
502	675	667
503	676	665
504	677	663
505	677	661
506	678	660
507	679	658
508	680	656
509	682	655
510	683	653
511	684	652
512	685	650
513	686	648
514	687	647
515	688	645
516	689	644
517	690	642
518	691	641
519	693	639
520	694	638
521	695	637
522	696	635
523	697	633
524	698	631
525	699	630
526	700	628
527	701	627
528	702	625
529	703	623
530	704	622
531	705	620
532	706	619
533	707	617
534	708	615
535	709	614
536	710	612
537	711	611
538	712	609
539	713	608
540	714	606
541	715	604
542	717	603
543	718	602
544	719	600
545	720	599
546	721	597
547	722	596
548	724	595
549	725	593
550	727	592
551	728	590
552	729	589
553	730	587
554	731	586
555	732	584
556	733	583
557	734	581
558	735	580
559	736	578
560	737	576
561	738	575
562	739	573
563	740	572
564	741	570
565	742	569
566	743	567
567	744	566
568	745	564
569	746	563
570	747	561
571	748	560
572	749	558
573	750	557
574	751	555
575	752	554
576	753	552
577	755	551
578	756	549
579	757	548
580	758	546
581	759	545
582	759	543
583	761	542
584	762	541
585	763	539
586	765	538
587	766	537
588	768	536
589	770	535
590	771	533
591	772	532
592	774	531
593	775	530
594	777	529
595	778	527
596	779	526
597	781	525
598	782	523
599	784	522
600	785	521
601	786	520
602	788	518
603	789	517
604	790	516
605	792	515
606	793	513
607	795	512
608	796	511
609	797	509
610	798	508
611	800	507
612	801	505
613	802	504
614	803	503
615	805	501
616	806	500
617	807	499
618	809	498
619	810	496
620	811	495
621	812	494
622	814	492
623	815	491
624	817	490
625	818	488
626	819	487
627	820	486
628	822	484
629	823	483
630	824	482
631	825	480
632	826	479
633	828	478
634	829	476
635	830	475
636	831	473
637	832	472
638	833	471
639	835	469
640	836	468
641	837	467
642	839	465
643	840	464
644	841	463
645	843	461
646	844	460
647	845	459
648	846	458
649	848	456
650	849	455
651	850	453
652	852	453
653	853	451
654	854	450
655	856	448
656	857	447
657	858	446
658	859	444
659	861	443
660	862	442
661	864	441
662	866	440
663	867	438
664	868	437
665	869	436
666	871	434
667	872	433
668	873	432
669	875	431
670	876	429
671	877	428
672	878	427
673	880	425
674	882	424
675	883	423
676	884	422
677	886	420
678	887	419
679	889	418
680	890	417
681	891	415
682	893	414
683	894	413
684	895	411
685	897	410
686	898	409
687	899	408
688	901	406
689	902	405
690	904	404
691	905	402
692	906	401
693	907	400
694	909	399
695	910	397
696	912	396
697	913	395
698	914	393
699	916	392
700	917	391
701	919	390
702	920	388
703	921	387
704	923	386
705	924	385
706	926	383
707	927	382
708	928	381
709	929	379
710	931	378
711	932	377
712	934	376
713	935	374
714	936	373
715	937	372
716	939	370
717	940	369
718	942	368
719	943	366
720	944	365
721	946	364
722	947	362
723	948	361
724	950	360
725	951	359
726	952	357
727	954	356
728	955	355
729	957	353
730	958	352
731	959	351
732	960	350
733	962	348
734	963	347
735	965	346
736	966	344
737	967	343
738	969	342
739	970	341
740	971	339
741	972	338
742	974	336
743	975	335
744	976	334
745	977	332
746	979	331
747	980	330
748	981	329
749	983	327
750	984	326
751	986	325
752	987	323
753	988	322
754	990	321
755	991	320
756	993	318
757	994	317
758	995	316
759	996	314
760	998	313
761	999	312
762	1001	310
763	1002	309
764	1003	308
765	1005	307
766	1006	305
767	1008	304
768	1009	303
769	1011	302
770	1012	300
771	1013	299
772	1015	298
773	1016	296
774	1017	295
775	1019	294
776	1020	292
777	1022	291
778	1023	290
779	1025	289
780	1026	287
781	1027	286
782	1028	285
783	1030	283
784	1031	282
785	1032	281
786	1034	279
787	1035	278
788	1036	277
789	1038	275
790	1039	274
791	1040	273
792	1042	272
793	1043	270
794	1045	269
795	1046	268
796	1048	267
797	1050	265
798	1051	264
799	1052	263
800	1054	261
801	1055	260
802	1057	259
803	1058	258
804	1060	256
805	1061	255
806	1062	254
807	1064	252
808	1065	251
809	1067	250
810	1068	249
811	1070	247
812	1071	246
813	1072	245
814	1074	243
815	1075	242
816	1076	241
817	1078	239
818	1079	238
819	1080	237
820	1082	235
821	1083	234
822	1085	233
823	1086	232
824	1088	230
825	1089	229
826	1090	228
827	1092	227
828	1094	225
829	1095	224
830	1097	223
831	1098	221
832	1099	220
833	1101	219
834	1102	217
835	1103	216
836	1105	215
837	1106	213
838	1108	212
839	1109	211
840	1111	210
841	1112	208
842	1114	207
843	1115	206
844	1116	204
845	1118	203
846	1119	202
847	1120	200
848	1121	199
849	1123	198
850	1124	196
851	1125	195
852	1127	194
853	1128	192
854	1129	191
855	1130	190
856	1132	188
857	1133	187
858	1134	186
859	1136	184
860	1137	183
861	1138	182
862	1140	180
863	1141	179
864	1143	178
865	1144	177
866	1146	175
867	1147	174
868	1149	173
869	1150	171
870	1151	170
871	1153	169
872	1154	167
873	1156	166
874	1157	165
875	1159	164
876	1160	162
877	1161	161
878	1163	160
879	1164	158
880	1165	157
881	1167	156
882	1168	154
883	1170	153
884	1171	152
885	1172	150
886	1174	149
887	1176	148
888	1177	147
889	1179	145
890	1180	144
891	1181	143
892	1182	141
893	1184	140
894	1185	139
895	1186	137
896	1188	136
897	1189	135
898	1191	133
899	1192	132
900	1194	131
901	1195	129
902	1197	128
903	1198	127
904	1199	125
905	1200	124
906	1202	123
907	1203	121
908	1205	120
909	1206	119
910	1208	118
911	1209	116
912	1211	115
913	1212	114
914	1213	112
915	1215	111
916	1216	110
917	1218	108
918	1219	107
919	1220	106
920	1222	104
921	1223	103
922	1224	102
923	1225	100
924	1226	99
925	1227	98
926	1228	96
927	1230	95
928	1231	94
929	1233	92
930	1234	91
931	1236	90
932	1237	88
933	1238	87
934	1239	86
935	1240	84
936	1242	83
937	1243	82
938	1244	80
939	1246	79
940	1247	78
941	1249	76
942	1250	75
943	1251	74
944	1253	72
945	1254	71
946	1255	70
947	1257	68
948	1258	67
949	1259	66
950	1261	64
951	1262	63
952	1264	62
953	1265	61
954	1266	59
955	1268	58
956	1269	57
957	1270	55
958	1272	54
959	1273	53
960	1274	51
961	1276	50
962	1277	49
963	1278	47
964	1279	46
965	1281	45
966	1282	43
967	1284	42
968	1285	41
969	1286	39
970	1288	38
971	1289	37
972	1291	35
973	1292	34
974	1294	33
975	1295	31
976	1296	30
977	1298	29
978	1299	27
979	1300	26
980	1301	25
981	1303	23
982	1304	22
983	1306	21
984	1307	19
985	1308	18
986	1310	17
987	1311	15
988	1312	14
989	1314	13
990	1315	11
991	1316	10
992	1317	9
993	1319	7
994	1321	6
995	1322	5
996	1323	3
997	1324	2
998	1326	1
999	1327	0
